bus_line,direction,stop_count,route_length_km,avg_inter_stop_distance_km,mean_distance_from_center_km,max_distance_from_center_km
C5,direction_1,71,25.594245906757756,0.3656320843822537,8.194258436578897,12.767282823605651
904,direction_0,47,12.940665651170669,0.2813188185037102,9.185887418010264,11.007278058838661
904,direction_1,37,10.925343117827646,0.30348175327299015,8.542690770105473,10.696754423903728
337,direction_0,37,13.740049525116378,0.3816680423643439,10.542849326605568,16.989418571109656
337,direction_1,34,13.752283387519338,0.4167358602278587,10.414337907432337,16.989418571109656
664,direction_0,30,13.557410549989532,0.46749691551688044,7.572576627649143,10.270758419715195
53,direction_0,53,13.433200544032376,0.2583307796929303,2.870921850260384,4.435370744738639
230,direction_0,2,1.4067585194379852,1.4067585194379852,3.955225646180094,4.434340296896478
230,direction_1,2,1.4067585194379852,1.4067585194379852,3.955225646180094,4.434340296896478
980,direction_0,38,9.893433366358078,0.2673900909826509,6.380270173404907,7.964972226033109
980,direction_1,38,9.723826188022327,0.26280611318979263,6.462170621380741,8.021544283481385
052,direction_0,22,7.584631144006327,0.36117291161934884,17.509137603525925,19.019146717235788
706,direction_0,26,8.495082589882042,0.3398033035952816,11.734936533209822,14.112309730700103
706,direction_1,22,7.560653561562877,0.36003112197918463,11.418011638333384,14.112309730700103
769,direction_0,26,6.671065220342516,0.2668426088137006,4.759259799094251,6.670006347488869
769,direction_1,28,6.316078896256419,0.233928848009497,4.739177729061817,6.677038137781348
780,direction_0,24,8.93736693656393,0.38858117115495344,4.888896106836339,8.138019953304005
780,direction_1,24,9.217940933724112,0.4007800405967006,5.078434421503375,8.138019953304005
301,direction_0,37,9.965612607200553,0.27682257242223757,5.940794203325054,9.259843198731499
301,direction_1,37,10.716191195762509,0.29767197766006975,5.92350459030734,9.233311012092269
170,direction_0,32,10.075814597174043,0.32502627732819495,2.942082184079914,6.8559630781589895
170,direction_1,29,9.711474141848578,0.34683836220887787,3.0999597739869182,6.869191472913655
106,direction_0,27,8.405526164082248,0.3232894678493172,9.794797381298153,14.10944280865933
106,direction_1,20,7.209159399622699,0.3794294420854052,10.276919420864129,14.10944280865933
04,direction_0,36,13.594223793543186,0.38840639410123395,19.39973051435761,24.872301522528485
04,direction_1,40,14.199045836857161,0.36407809838095284,19.406252607481672,24.90088948614825
058,direction_0,45,15.329567573396613,0.348399263031741,10.427791666222362,13.51553594273044
058,direction_1,38,13.596698575491285,0.36747833987814277,10.633084782273485,13.543539852086516
06,direction_0,53,19.83009196628812,0.3813479224286177,20.69522528736373,24.838181198207742
06,direction_1,36,13.004961251402094,0.3715703214686313,21.829145484253083,24.802625456363785
07,direction_0,27,13.246216406829896,0.5094698618011498,25.513065976202764,27.554489629169822
07,direction_1,22,10.16382698031856,0.48399176096755053,25.171650506397704,27.13051494400139
16,direction_0,26,6.47701485672405,0.25908059426896207,2.9460671849747544,4.660776675382399
16,direction_1,26,6.188264841346191,0.2475305936538477,2.965045714152538,4.701866286818028
163,direction_0,20,6.335920936694085,0.3334695229838992,6.022154583589019,8.457663830055415
163,direction_1,17,5.5444139861039865,0.3465258741314991,5.451395301518421,8.095672515349927
200,direction_0,23,9.712673650059605,0.4414851659118002,7.123085589882732,11.779656743481612
200,direction_1,21,9.514091137923124,0.4757045568961562,6.941107788400196,11.683228524092515
23,direction_0,36,9.492913164647028,0.2712260904184865,2.8381074285095425,4.972457179454462
23,direction_1,34,9.42653196310209,0.2856524837303664,2.83017596527426,4.955348218360847
30,direction_0,24,13.447310308025877,0.5846656655663425,3.1993091417038926,7.804061925191967
30,direction_1,24,13.895839756180683,0.6041669459208993,3.384848087161926,8.18841851827684
34,direction_0,14,3.22012953105526,0.24770227161963534,2.211460154833052,2.6156644490125767
44,direction_0,33,8.113945068397324,0.2535607833874164,3.5675601668305155,5.741353800166624
44,direction_1,40,8.443665673806903,0.2165042480463308,3.2910430874777865,5.741353800166624
450,direction_0,56,13.536282936809389,0.2461142352147161,7.031567835297011,8.4980536506424
450,direction_1,61,15.419517725806035,0.2569919620967672,7.1545058632521235,8.52671734718876
46,direction_0,46,11.109497296749923,0.24687771770555386,4.464580807814694,6.964541644771748
46,direction_1,43,11.069790590173799,0.26356644262318574,4.415760431434378,6.9447363573650165
46B,direction_0,23,5.090432564527567,0.23138329838761662,6.639057639668586,7.970594278909555
46B,direction_1,25,6.08597877085434,0.2535824487855975,6.677867162305112,8.13907311847565
49,direction_0,43,11.054551781497578,0.26320361384518043,5.061662605150871,7.824439129576706
49,direction_1,44,11.651748544990657,0.2709708963951316,5.240559688548344,7.824439129576706
492,direction_0,40,10.435667477150162,0.2675812173628246,1.9373676129315882,4.293750232259822
